ID,Movie_name,Overview,Genres,Release Date,Collection_name,backdrop_path,poster_path
10474,The Basketball Diaries,A high school basketball player’s life turns upside down after free-falling into the harrowing world of drug addiction.,Drama,4/21/1995,,/nb8pMW3o85jATvhz7y6clAFlL1u.jpg,/9qX10tQz0hvppk30CDrz73fZTPQ.jpg
10475,Factotum,"This drama centers on Hank Chinaski, the fictional alter-ego of ""Factotum"" author Charles Bukowski, who wanders around Los Angeles, CA trying to live off jobs which don't interfere with his primary interest, which is writing. Along the way, he fends off the distractions offered by women, drinking and gambling.",Comedy,4/25/2005,,/k41nJTWy18zAWv0mGqXOfLCb7Ct.jpg,/qfuqZHaAFiC4N8natPXojrpXR2y.jpg
10476,Hustle & Flow,"With help from his friends, a Memphis pimp in a mid-life crisis attempts to become a successful hip-hop emcee.",Drama,7/22/2005,,/7B05PWjXIW7uiO3x5ZpmuTQJsIO.jpg,/irsY25rutwClUZK2SP0sEQLGfHT.jpg
10477,Driven,"Talented rookie race-car driver Jimmy Bly has started losing his focus and begins to slip in the race rankings. It's no wonder, with the immense pressure being shoveled on him by his overly ambitious promoter brother as well as Bly's romance with his arch rival's girlfriend Sophia. With much riding on Bly, car owner Carl Henry brings former racing star Joe Tanto on board to help Bly. To drive Bly back to the top of the rankings, Tanto must first deal with the emotional scars left over from a tragic racing accident which nearly took his life.",Action,4/27/2001,,/w4Jvkb6BQGvQ3K3aECMsy6bZln3.jpg,/2aN2BBAbRyfEpfxZAQY82T8zWRq.jpg
10478,Tin Cup,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his succesful rival's girlfriend.,Comedy,8/16/1996,,/xVKFyLJXPanmd3IZYynq6MNkzHz.jpg,/rB7OvMmjcBFoogleORaUqrRgp8g.jpg
10479,Rules of Engagement,"Part war movie, part courtroom thriller, this gripping drama finds a war hero put on trial for a rescue mission gone terribly wrong with only his doubtful friend and fellow marine to represent him.",Action,4/7/2000,,/3FkPmN3YXEi68zcNjiibOQ9fgNT.jpg,/8qU4Df4PXZUO8rYgEXlFkb5BBSs.jpg
10480,Nurse Betty,"What happens when a person decides that life is merely a state of mind? If you're Betty, a small-town waitress and soap opera fan from Fair Oaks, Kansas, you refuse to believe that you can't be with the love of your life just because he doesn't really exist. After all, life is no excuse for not living. Traumatized by a savage event, Betty enters into a fugue state that allows -- even encourages -- her to keep functioning... in a kind of alternate reality.",Comedy,8/30/2000,,/gMWwbkVNb9nnyH9KcD2KkM1JlwD.jpg,/1OCHR9z9k7go669AsShOkTj4CFb.jpg
10481,102 Dalmatians,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth - a parrot who thinks he's a Rottweiler - teams up with Oddball - an un-marked Dalmatian puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil.",Comedy,10/7/2000,101 Dalmatians (Live-Action) Collection,/eqZ5t82asfprFcNS56eVruNT5G5.jpg,/dSxnIika9yWwTvEbpsmoGdeh65E.jpg
10482,Guest House Paradiso,"Richie and Eddie are in charge of the worst hotel in the UK, Guest House Paradiso, neighbouring a nuclear power plant. The illegal immigrant chef has fled and all the guests have gone. But when a famous Italian filmstar, Gina Carbonara, who is in hiding from a fiance she doesn't want to marry, arrives at the hotel, things get very interesting!",Comedy,12/3/1999,,/dYso244yCYb6VkNjqUedAzJsgA7.jpg,/8kHQZ0O28QD6GPLDcDzM1WMgRBg.jpg
10483,Death Race,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.",Action,8/22/2008,Death Race Collection,/buqaSUVoFaTZGJzVD0w1a14RMMD.jpg,/5A79GeOb3uChQ0l0ZDjDyODKQp3.jpg
